university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
Dakota State University,2818,450,2019,3268
Dakota Wesleyan University,747,133,2019,880
Dallas Baptist University,2883,1604,2019,4487
Dallas Christian College,194,null,2019,194
Dallas College,12947,null,2019,12947
Dallas Theological Seminary,null,2419,2019,2419
Dalton State College,4964,null,2019,4964
Daoist Traditions College of Chinese Medical Arts,null,108,2019,108
Dartmouth College,4459,2147,2019,6606
Davenport University,5078,1351,2019,6429
Davidson College,1837,null,2019,1837
Davis & Elkins College,776,null,2019,776
Davis College,88,null,2019,88
Davis College,23,null,2019,23
Daybreak University,null,null,2019,null
Daytona College,215,null,2019,215
Daytona State College,13430,null,2019,13430
Dean College,1320,null,2019,1320
Defiance College,513,29,2019,542
Del Mar College,12008,null,2019,12008
Delaware State University,4315,453,2019,4768
Delaware Technical Community College-Terry,13660,null,2019,13660
Delaware Valley University,1924,445,2019,2369
Delta State University,3109,642,2019,3751
Denison University,2293,null,2019,2293
Denver College of Nursing,929,27,2019,956
Denver College of Nursing-Houston,null,null,2019,null
Denver Seminary,null,848,2019,848
DePaul University,14214,7850,2019,22064
DePauw University,1972,null,2019,1972
Des Moines University-Osteopathic Medical Center,null,1530,2019,1530
DeSales University,2492,968,2019,3460
Design Institute of San Diego,121,null,2019,121
DeVry College of New York,836,427,2019,1263
DeVry University-Arizona,267,61,2019,328
DeVry University-California,1683,396,2019,2079
DeVry University-Florida,551,125,2019,676
DeVry University-Georgia,858,179,2019,1037
DeVry University-Illinois,14163,4032,2019,18195
DeVry University-Nevada,54,13,2019,67
DeVry University-New Jersey,219,25,2019,244
DeVry University-North Carolina,47,25,2019,72
DeVry University-Ohio,444,53,2019,497
DeVry University-Texas,314,101,2019,415
DeVry University-Virginia,150,131,2019,281
Dewey University-Carolina,188,null,2019,188
Dewey University-Hato Rey,406,130,2019,536
Dewey University-Juana Díaz,79,1,2019,80
Dewey University-Manati,171,null,2019,171
Dickinson College,2133,null,2019,2133
Dickinson State University,1321,29,2019,1350
DigiPen Institute of Technology,1084,90,2019,1174
Dillard University,1225,null,2019,1225
Dine College,1463,null,2019,1463
Divine Mercy University,null,340,2019,340
Divine Word College,66,null,2019,66
Doane University,1351,1071,2019,2422
Dominican School of Philosophy & Theology,null,67,2019,67
Dominican University,2151,878,2019,3029
Dominican University New York,1377,491,2019,1868
Dominican University of California,1461,418,2019,1879
Dongguk University Los Angeles,16,115,2019,131
Donnelly College,303,null,2019,303
Dordt University,1385,162,2019,1547
Dragon Rises College of Oriental Medicine,null,40,2019,40
Drake University,2954,1930,2019,4884
Drew University,1712,607,2019,2319
Drexel University,15414,8791,2019,24205
Drury University,1479,264,2019,1743
Drury University-College of Continuing Professional Studies,1326,null,2019,1326
Duke University,6649,10119,2019,16768
Dunwoody College of Technology,1358,null,2019,1358
Duquesne University,5839,3358,2019,9197
